epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6902,1.22014,3.85961,1.67365,0.00859,1,0.23608,0.16577,0.50593,4.35957,1.09586,0,0,0
2,30.8317,1.35845,3.85009,1.64157,0.00893,1,0.24226,0.17057,0.50325,4.35834,1.09206,6.58746e-06,6.58746e-06,6.58746e-06
3,41.3376,1.08324,3.64219,1.48842,0.00942,1,0.24771,0.17466,0.48545,4.35189,1.07801,1.30098e-05,1.30098e-05,1.30098e-05
4,52.7113,1.08337,3.69445,1.45545,0.01048,1,0.25367,0.18145,0.45359,4.3353,1.05394,1.92671e-05,1.92671e-05,1.92671e-05
5,63.6797,0.89662,3.70274,1.34612,0.01133,1,0.27303,0.19352,0.42014,4.31709,1.02828,2.53593e-05,2.53593e-05,2.53593e-05
6,74.6021,1.00884,3.73076,1.47175,0.0128,1,0.30924,0.2299,0.38756,4.3064,0.99122,3.12865e-05,3.12865e-05,3.12865e-05
7,84.4501,0.82724,3.67079,1.3897,0.01432,1,0.36175,0.28107,0.3556,4.29348,0.95275,3.70485e-05,3.70485e-05,3.70485e-05
8,95.1926,0.61252,3.65148,1.21936,0.01629,1,0.37057,0.28015,0.3212,4.29188,0.92072,4.26455e-05,4.26455e-05,4.26455e-05
9,106.018,0.56792,3.55551,1.15917,0.0168,1,0.37478,0.28457,0.28866,4.286,0.89599,4.80774e-05,4.80774e-05,4.80774e-05
10,117.029,0.57757,3.52879,1.23781,0.0182,1,0.38483,0.34035,0.26004,4.27617,0.8693,5.33442e-05,5.33442e-05,5.33442e-05
11,126.83,0.49391,3.54193,1.20503,0.01865,1,0.37239,0.35396,0.25007,4.2734,0.85052,5.84459e-05,5.84459e-05,5.84459e-05
12,137.11,0.45465,3.55208,1.14189,0.01874,1,0.38784,0.36868,0.24586,4.26863,0.84413,6.33825e-05,6.33825e-05,6.33825e-05
13,147.968,0.36491,3.42211,1.09334,0.01483,0.8,0.42011,0.38031,0.24126,4.26997,0.84124,6.81541e-05,6.81541e-05,6.81541e-05
14,158.718,0.36406,3.40638,1.09925,0.01561,0.8,0.42288,0.38059,0.24114,4.26641,0.83081,7.27605e-05,7.27605e-05,7.27605e-05
15,168.694,0.4122,3.40435,1.08631,0.01517,0.8,0.2985,0.26865,0.24014,4.26346,0.82784,7.72019e-05,7.72019e-05,7.72019e-05
16,178.703,0.39101,3.31227,1.11719,0.01474,0.8,0.35654,0.32089,0.23337,4.27331,0.82607,8.14782e-05,8.14782e-05,8.14782e-05
17,189.176,0.30853,3.28665,1.05151,0.01495,0.8,0.38971,0.34079,0.23199,4.27207,0.82124,8.55894e-05,8.55894e-05,8.55894e-05
18,199.689,0.26137,3.26259,1.03573,0.01495,0.8,0.38971,0.34079,0.23199,4.27207,0.82124,8.95356e-05,8.95356e-05,8.95356e-05
19,209.142,0.37912,3.22783,1.09066,0.01424,0.8,0.38971,0.34742,0.24029,4.26522,0.82715,9.33166e-05,9.33166e-05,9.33166e-05
20,219.26,0.33584,3.20855,0.99777,0.01424,0.8,0.38971,0.34742,0.24029,4.26522,0.82715,9.69326e-05,9.69326e-05,9.69326e-05
21,229.457,0.30412,3.10919,1.06486,0.01434,0.8,0.3582,0.31442,0.24751,4.26155,0.83084,0.000100383,0.000100383,0.000100383
22,239.425,0.27399,3.10159,1.00804,0.01434,0.8,0.3582,0.31442,0.24751,4.26155,0.83084,0.000103669,0.000103669,0.000103669
23,249.287,0.28961,3.09943,1.01899,0.0146,0.8,0.35639,0.31297,0.27811,4.23626,0.83689,0.00010679,0.00010679,0.00010679
